rownames	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene	geneid	species
Ssus11-ACTB	0	1.159698609	0.642	0.248	0	0	Ssus11-ACTB	ACTB	Suss11
Ssus11-TIMP1	1.09E-282	1.358600539	0.97	0.686	1.68E-278	0	Ssus11-TIMP1	TIMP1	Suss11
Ssus11-RPS18	2.48E-247	0.650941004	0.998	0.973	3.81E-243	0	Ssus11-RPS18	RPS18	Suss11
Ssus11-TNXB	6.63E-233	-1.012389923	0.047	0.46	1.02E-228	0	Ssus11-TNXB	TNXB	Suss11
Ssus11-TMSB10	8.81E-225	0.582569353	1	1	1.36E-220	0	Ssus11-TMSB10	TMSB10	Suss11
Ssus11-ACTG1	6.35E-216	0.626174834	1	0.979	9.78E-212	0	Ssus11-ACTG1	ACTG1	Suss11
Ssus11-TPM4	1.09E-215	0.763000024	0.985	0.75	1.67E-211	0	Ssus11-TPM4	TPM4	Suss11
Ssus11-TUBA1B	1.34E-197	0.662773677	0.999	0.952	2.06E-193	0	Ssus11-TUBA1B	TUBA1B	Suss11
Ssus11-GSN	3.41E-194	-1.030976762	0.966	0.954	5.26E-190	0	Ssus11-GSN	GSN	Suss11
Ssus11-HSPG2	3.62E-193	-0.80002963	0.983	0.961	5.57E-189	0	Ssus11-HSPG2	HSPG2	Suss11
Ssus11-TMSB4X	2.96E-187	0.527559054	1	0.995	4.55E-183	0	Ssus11-TMSB4X	TMSB4X	Suss11
Ssus11-CST3	1.11E-184	-0.750089722	0.997	0.995	1.71E-180	0	Ssus11-CST3	CST3	Suss11
Ssus11-PER1	4.96E-172	-0.637273224	0.08	0.435	7.64E-168	0	Ssus11-PER1	PER1	Suss11
Ssus11-RPS20	5.10E-170	0.420644658	1	0.998	7.86E-166	0	Ssus11-RPS20	RPS20	Suss11
Ssus11-CILP	1.28E-169	-0.962485577	0.063	0.409	1.97E-165	0	Ssus11-CILP	CILP	Suss11
Ssus11-MYL3	2.09E-165	-1.277720839	0.016	0.326	3.22E-161	0	Ssus11-MYL3	MYL3	Suss11
Ssus11-GAS6	1.27E-163	-0.517207151	0.067	0.412	1.95E-159	0	Ssus11-GAS6	GAS6	Suss11
Ssus11-ENSSSCG00000032480	1.44E-163	-0.667433754	0.066	0.407	2.22E-159	0	Ssus11-ENSSSCG00000032480	ENSSSCG00000032480	Suss11
Ssus11-NUPR1	1.88E-161	-0.671841097	0.084	0.428	2.89E-157	0	Ssus11-NUPR1	NUPR1	Suss11
Ssus11-GADD45G	1.17E-160	-0.647991938	0.042	0.36	1.80E-156	0	Ssus11-GADD45G	GADD45G	Suss11
Ssus11-FBLN1	7.77E-156	-1.227104322	0.708	0.744	1.20E-151	0	Ssus11-FBLN1	FBLN1	Suss11
