rownames	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene	geneid	species
Ssus11-ACTB	0	1.16	0.642	0.248	0	0	Ssus11-ACTB	ACTB	Suss11
Ssus11-TIMP1	0	1.36	0.97	0.686	0	0	Ssus11-TIMP1	TIMP1	Suss11
Ssus11-RPS18	0	0.65	0.998	0.973	0	0	Ssus11-RPS18	RPS18	Suss11
Ssus11-TNXB	0	-1.01	0.047	0.46	0	0	Ssus11-TNXB	TNXB	Suss11
Ssus11-TMSB10	0	0.58	1	1	0	0	Ssus11-TMSB10	TMSB10	Suss11
Ssus11-ACTG1	0	0.63	1	0.979	0	0	Ssus11-ACTG1	ACTG1	Suss11
Ssus11-TPM4	0	0.76	0.985	0.75	0	0	Ssus11-TPM4	TPM4	Suss11
Ssus11-TUBA1B	0	0.66	0.999	0.952	0	0	Ssus11-TUBA1B	TUBA1B	Suss11
Ssus11-GSN	0	-1.03	0.966	0.954	0	0	Ssus11-GSN	GSN	Suss11
Ssus11-HSPG2	0	-0.8	0.983	0.961	0	0	Ssus11-HSPG2	HSPG2	Suss11
Ssus11-TMSB4X	0	0.53	1	0.995	0	0	Ssus11-TMSB4X	TMSB4X	Suss11
Ssus11-CST3	0	-0.75	0.997	0.995	0	0	Ssus11-CST3	CST3	Suss11
Ssus11-PER1	0	-0.64	0.08	0.435	0	0	Ssus11-PER1	PER1	Suss11
Ssus11-RPS20	0	0.42	1	0.998	0	0	Ssus11-RPS20	RPS20	Suss11
Ssus11-CILP	0	-0.96	0.063	0.409	0	0	Ssus11-CILP	CILP	Suss11
Ssus11-MYL3	0	-1.28	0.016	0.326	0	0	Ssus11-MYL3	MYL3	Suss11
Ssus11-GAS6	0	-0.52	0.067	0.412	0	0	Ssus11-GAS6	GAS6	Suss11
Ssus11-ENSSSCG00000032480	0	-0.67	0.066	0.407	0	0	Ssus11-ENSSSCG00000032480	ENSSSCG00000032480	Suss11
Ssus11-NUPR1	0	-0.67	0.084	0.428	0	0	Ssus11-NUPR1	NUPR1	Suss11
Ssus11-GADD45G	0	-0.65	0.042	0.36	0	0	Ssus11-GADD45G	GADD45G	Suss11
