p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
Ssus11-COMP	0	1.92582256818898	0.544	0.134	0	0	Ssus11-COMP
Ssus11-FBLN1	0	1.83624835715247	0.992	0.65	0	0	Ssus11-FBLN1
Ssus11-AEBP1	0	1.80242685252943	0.994	0.743	0	0	Ssus11-AEBP1
Ssus11-CCDC80	0	1.45140970374297	0.994	0.741	0	0	Ssus11-CCDC80
Ssus11-GSN	0	1.40132061686714	1	0.923	0	0	Ssus11-GSN
Ssus11-SPON2	0	1.39235192403908	0.933	0.644	0	0	Ssus11-SPON2
Ssus11-ENSSSCG00000035293	0	1.328725279946	0.991	0.753	0	0	Ssus11-ENSSSCG00000035293
Ssus11-SPARC	0	1.22530932968248	1	0.981	0	0	Ssus11-SPARC
Ssus11-PRELP	0	1.18311166211703	0.813	0.498	0	0	Ssus11-PRELP
Ssus11-DCN	0	1.02490795539362	0.998	0.85	0	0	Ssus11-DCN
Ssus11-ENSSSCG00000004489	0	0.741277335700517	1	1	0	0	Ssus11-ENSSSCG00000004489
Ssus11-SERPING1	1.85518147403655e-307	0.975871571676297	0.977	0.715	2.2384619665725e-303	0	Ssus11-SERPING1
Ssus11-ENSSSCG00000014540	4.06211691088178e-291	-0.82077963778875	1	1	4.90135026466995e-287	0	Ssus11-ENSSSCG00000014540
Ssus11-CILP	1.7812816830713e-284	1.09030811344459	0.659	0.282	2.14929447879383e-280	0	Ssus11-CILP
Ssus11-BGN	7.7270697299121e-271	0.925002162376666	1	0.847	9.32348233611194e-267	0	Ssus11-BGN
Ssus11-PI16	4.20932223963836e-267	0.964177871563391	0.84	0.506	5.07896821434764e-263	0	Ssus11-PI16
Ssus11-THBS4	6.9804098475569e-250	1.01738087447348	0.991	0.792	8.42256252206216e-246	0	Ssus11-THBS4
Ssus11-SELENOP	1.62812568002642e-248	0.896790700879819	0.992	0.864	1.96449644551988e-244	0	Ssus11-SELENOP
Ssus11-COL3A1	1.15378999487194e-236	0.833434687638158	1	0.998	1.39216300781249e-232	0	Ssus11-COL3A1
Ssus11-PCOLCE	3.65388492372362e-233	0.807139791415256	0.967	0.722	4.40877754896492e-229	0	Ssus11-PCOLCE
Ssus11-TXNIP	1.17825221324115e-230	0.972984489981941	0.638	0.355	1.42167912049677e-226	0	Ssus11-TXNIP
Ssus11-RPLP0	1.62186004580471e-219	0.528906439547554	1	1	1.95693633126796e-215	0	Ssus11-RPLP0
Ssus11-LUM	1.79474950952456e-211	0.812864272338648	0.977	0.768	2.16554475819233e-207	0	Ssus11-LUM
Ssus11-COL1A2	2.83496346323028e-199	0.717438161986104	1	0.946	3.42066691473366e-195	0	Ssus11-COL1A2
Ssus11-MATN4	2.19269419318215e-196	0.843322779280846	0.526	0.226	2.64570481349359e-192	0	Ssus11-MATN4
Ssus11-SERF2	8.73780535224676e-194	-0.638878861957141	1	1	1.05430359380209e-189	0	Ssus11-SERF2
Ssus11-HSPG2	8.07156576060263e-179	0.695680241709792	0.997	0.898	9.73915124674314e-175	0	Ssus11-HSPG2
Ssus11-CPXM2	4.99780115096589e-177	0.65372983764555	0.378	0.13	6.03034686875545e-173	0	Ssus11-CPXM2
Ssus11-ENSSSCG00000033310	2.94854315214978e-169	-0.445516783063381	1	1	3.55771216738392e-165	0	Ssus11-ENSSSCG00000033310
Ssus11-EEF1B2	3.28311281593497e-169	0.620898714740912	0.993	0.93	3.96140392370714e-165	0	Ssus11-EEF1B2
Ssus11-RPS3A	3.71208769657152e-167	0.559181003230518	0.999	0.983	4.4790050146832e-163	0	Ssus11-RPS3A
Ssus11-TNXB	5.89546086688233e-166	0.9928550768563	0.538	0.292	7.11346308198022e-162	0	Ssus11-TNXB
Ssus11-COL5A2	1.85678598820878e-165	0.672683739503861	0.99	0.735	2.24039797337271e-161	0	Ssus11-COL5A2
Ssus11-CILP2	1.0569757546597e-164	0.559105252215832	0.257	0.06	1.2753469455724e-160	0	Ssus11-CILP2
Ssus11-RPS29	3.73222686172766e-162	-0.478673433793973	0.999	0.997	4.5033049313606e-158	0	Ssus11-RPS29
Ssus11-RRBP1	7.32302159202017e-156	0.690313242221301	0.885	0.639	8.83595785293154e-152	0	Ssus11-RRBP1
Ssus11-ENSSSCG00000033457	1.14146117462416e-150	-1.00224184195274	0.017	0.328	1.37728705330151e-146	0	Ssus11-ENSSSCG00000033457
Ssus11-LGALS3	2.57004296886461e-148	-1.15510199515941	0.033	0.345	3.10101384623204e-144	0	Ssus11-LGALS3
Ssus11-OGN	2.66022016140248e-146	0.689367935321742	0.476	0.23	3.20982164674823e-142	0	Ssus11-OGN
Ssus11-ENSSSCG00000000261	1.65191836090815e-144	0.742025292445725	0.803	0.605	1.99320469427177e-140	0	Ssus11-ENSSSCG00000000261
Ssus11-CPSF6	5.19259418656455e-142	-0.84222949845202	0.031	0.335	6.26538414550879e-138	0	Ssus11-CPSF6
Ssus11-S100A4	1.28141678888236e-140	-1.34377023396495	0.115	0.426	1.54615749746545e-136	0	Ssus11-S100A4
Ssus11-RPS15	2.11697499603383e-140	-0.460292894060549	0.999	1	2.55434203021441e-136	0	Ssus11-RPS15
Ssus11-GPNMB	6.76173857261404e-140	-0.900913014855023	0.096	0.414	8.1587137617161e-136	0	Ssus11-GPNMB
Ssus11-CHPF	1.75079422555283e-136	0.769599034797384	0.699	0.496	2.11250831255204e-132	0	Ssus11-CHPF
Ssus11-PFN1	1.59250525147099e-135	-0.642571577439427	0.064	0.374	1.9215168364249e-131	0	Ssus11-PFN1
Ssus11-MMP9	2.6059797707808e-135	-0.925791832820793	0.019	0.307	3.14437519142411e-131	0	Ssus11-MMP9
Ssus11-ACTB	5.00985827251003e-134	-0.80147293190919	0.017	0.303	6.0448949916106e-130	0	Ssus11-ACTB
Ssus11-FCER1G	1.08353887353465e-133	-0.837682512496444	0.101	0.41	1.30739800480691e-129	0	Ssus11-FCER1G
Ssus11-ATP6V1F	1.57548841481453e-133	-0.541985664764275	0.107	0.437	1.90098432131521e-129	0	Ssus11-ATP6V1F
Ssus11-MGP	2.72209420273294e-133	0.506211998164968	1	0.861	3.28447886501756e-129	0	Ssus11-MGP
Ssus11-ENSSSCG00000017164	2.15390965201648e-132	0.603181194474089	0.967	0.763	2.59890738612309e-128	0	Ssus11-ENSSSCG00000017164
Ssus11-CTSS	1.24835735214884e-130	-0.897696318826031	0.16	0.464	1.50626798110279e-126	0	Ssus11-CTSS
Ssus11-HSPE1	1.60779328270021e-129	-0.476498296561734	0.131	0.474	1.93996337490607e-125	0	Ssus11-HSPE1
Ssus11-CXCL14	3.68274978326145e-129	-0.768744511595376	0.069	0.366	4.44360588848327e-125	0	Ssus11-CXCL14
Ssus11-THBS2	2.08337260623744e-125	0.610380175673397	0.831	0.586	2.51379738668609e-121	0	Ssus11-THBS2
Ssus11-LCP1	3.33767063685399e-121	-0.696962605004308	0.064	0.351	4.02723339042803e-117	0	Ssus11-LCP1
Ssus11-VDAC1	5.31042302787633e-119	-0.429506084433917	0.111	0.429	6.40755642543558e-115	0	Ssus11-VDAC1
Ssus11-ABI3BP	3.51094474895616e-117	0.477852373032137	0.275	0.093	4.2363059340905e-113	0	Ssus11-ABI3BP
Ssus11-ENSSSCG00000013366	3.36986349293815e-115	-0.669734805928487	0.121	0.419	4.06607729057917e-111	0	Ssus11-ENSSSCG00000013366
Ssus11-EFEMP2	1.02625068849154e-114	0.568458831179597	0.759	0.548	1.23827408073389e-110	0	Ssus11-EFEMP2
Ssus11-RPL17-C18orf32	5.1000647545132e-112	0.468406002961413	0.996	0.975	6.15373813279563e-108	0	Ssus11-RPL17-C18orf32
Ssus11-ENSSSCG00000011272	3.50454318311014e-111	-0.485892701197788	0.981	0.974	4.2285818047407e-107	0	Ssus11-ENSSSCG00000011272
Ssus11-ENSSSCG00000023158	2.48644596335946e-110	-0.451194828951161	0.156	0.473	3.00014569938953e-106	0	Ssus11-ENSSSCG00000023158
Ssus11-AIF1	2.91161259844258e-110	-0.588558344327576	0.081	0.358	3.51315176128081e-106	0	Ssus11-AIF1
Ssus11-CCL2	9.07622040038931e-110	-0.763872745835828	0.084	0.356	1.09513675351097e-105	0	Ssus11-CCL2
Ssus11-COL8A1	9.10500811043672e-109	0.836938338356349	0.582	0.417	1.09861027860529e-104	0	Ssus11-COL8A1
Ssus11-PLP2	1.4362241656314e-108	-0.451909391218816	0.103	0.394	1.73294807825085e-104	0	Ssus11-PLP2
Ssus11-BRI3	9.05029603870261e-108	-0.393025256833223	0.149	0.466	1.09200872002986e-103	0	Ssus11-BRI3
Ssus11-RARRES2	5.0531458509287e-107	0.448835592862751	0.941	0.697	6.09712578373057e-103	0	Ssus11-RARRES2
Ssus11-PGK1	1.20740638383267e-105	-0.40228266017348	0.131	0.434	1.4568565427325e-101	0	Ssus11-PGK1
Ssus11-HSBP1	3.62260196733868e-105	-0.410306029630909	0.173	0.493	4.37103153379085e-101	0	Ssus11-HSBP1
Ssus11-ENSSSCG00000013906	3.3155346043814e-104	-0.359374797249381	1	0.999	4.0005240536466e-100	0	Ssus11-ENSSSCG00000013906
Ssus11-PENK	1.27226677431795e-103	0.377877014170617	0.21	0.06	1.53511708989204e-99	0	Ssus11-PENK
Ssus11-ENSSSCG00000040854	7.00506070823645e-103	-0.425711153090718	0.126	0.423	8.4523062505581e-99	0	Ssus11-ENSSSCG00000040854
Ssus11-COL1A1	4.96908344387767e-101	0.407427764520659	1	0.924	5.99569608338279e-97	0	Ssus11-COL1A1
Ssus11-ENSSSCG00000004024	2.32092170998724e-100	-0.677221693467079	0.185	0.452	2.8004241352706e-96	0	Ssus11-ENSSSCG00000004024
Ssus11-SPI1	3.5548229138644e-100	-0.442553057489739	0.055	0.306	4.28924932786879e-96	0	Ssus11-SPI1
Ssus11-PDCD5	5.92082063408228e-98	-0.367449888245588	0.103	0.38	7.14406217708368e-94	0	Ssus11-PDCD5
Ssus11-PPP1R14B	1.79524158282786e-97	-0.44259987688827	0.132	0.413	2.1661384938401e-93	0	Ssus11-PPP1R14B
Ssus11-CLU	5.9195928680926e-97	-0.573571745002718	0.947	0.956	7.14258075464053e-93	0	Ssus11-CLU
Ssus11-RPS17	9.34220596351007e-97	0.456822869558354	0.994	0.963	1.12723057155713e-92	0	Ssus11-RPS17
Ssus11-NEDD8	9.63330711722157e-96	-0.377632733472804	0.176	0.484	1.16235483676395e-91	0	Ssus11-NEDD8
Ssus11-TMSB10	2.64889885482669e-95	-1.14782383968168	1	0.997	3.19616135823389e-91	0	Ssus11-TMSB10
Ssus11-CTSA	2.9039345292374e-95	-0.448501162534627	0.138	0.417	3.50388740297784e-91	0	Ssus11-CTSA
Ssus11-COX17	1.24104473200388e-94	-0.433528316684946	0.131	0.405	1.49744457363588e-90	0	Ssus11-COX17
Ssus11-NDUFB3	1.25380827223301e-94	-0.394716468057168	0.154	0.448	1.51284506127634e-90	0	Ssus11-NDUFB3
Ssus11-AVPI1	1.23163757311759e-93	-0.39422922034957	0.086	0.346	1.48609389572369e-89	0	Ssus11-AVPI1
Ssus11-LGMN	2.2038365974281e-93	-0.909545550098865	0.363	0.547	2.65914923845675e-89	0	Ssus11-LGMN
Ssus11-AP2S1	2.3938375448044e-93	-0.456220772621297	0.176	0.469	2.88840438156099e-89	0	Ssus11-AP2S1
Ssus11-PEPD	6.08744829501216e-93	-0.390432394916721	0.037	0.267	7.34511511276167e-89	0	Ssus11-PEPD
Ssus11-ISG12(A)	8.69416745909375e-93	0.294886700155946	0.995	0.897	1.04903824561425e-88	0	Ssus11-ISG12(A)
Ssus11-RAN	1.07785395143844e-92	-0.439510544806885	0.183	0.479	1.30053857780562e-88	0	Ssus11-RAN
Ssus11-YKT6	1.70962423386239e-92	-0.397883063370208	0.141	0.423	2.06283260057837e-88	0	Ssus11-YKT6
Ssus11-ENSSSCG00000035904	2.98183133743096e-92	-0.435669491059282	0.999	0.998	3.59787769174419e-88	0	Ssus11-ENSSSCG00000035904
Ssus11-MFSD12	8.34536665884425e-92	-0.461513943085387	0.048	0.279	1.00695194105615e-87	0	Ssus11-MFSD12
Ssus11-LAMTOR5	1.70177068283807e-91	-0.372706075906881	0.114	0.383	2.05335650591241e-87	0	Ssus11-LAMTOR5
Ssus11-ENSSSCG00000005453	1.20727908242428e-90	-0.649004482126548	0.397	0.612	1.45670294085314e-86	0	Ssus11-ENSSSCG00000005453
Ssus11-CNDP2	1.87458617842837e-90	-0.475834988212352	0.078	0.32	2.26187568289168e-86	0	Ssus11-CNDP2
Ssus11-RPL37A	1.91802908663334e-90	-0.310756783043836	0.997	0.997	2.31429389593179e-86	0	Ssus11-RPL37A
Ssus11-CTSD	2.49352547595326e-90	-0.948970664751545	0.994	0.934	3.0086878392852e-86	0	Ssus11-CTSD
Ssus11-SDC2	1.23006824766318e-89	-0.584886272470327	0.124	0.376	1.48420034763039e-85	0	Ssus11-SDC2
Ssus11-LTBP3	1.71079756104309e-89	0.606511313304908	0.595	0.43	2.06424833715459e-85	0	Ssus11-LTBP3
Ssus11-MRPL20	1.91696902775404e-88	-0.359624412555972	0.09	0.34	2.31301482888803e-84	0	Ssus11-MRPL20
Ssus11-RPL10	3.40867658831097e-88	-0.385743218859337	1	1	4.11290917145602e-84	0	Ssus11-RPL10
Ssus11-SRGN	3.64751351161894e-88	-0.703219957947787	0.121	0.365	4.40108980311941e-84	0	Ssus11-SRGN
Ssus11-UOX	1.4518003413019e-87	-0.349236992974396	0.124	0.392	1.75174229181488e-83	0	Ssus11-UOX
Ssus11-YBX1	1.49593697133431e-87	-0.477220724846365	0.729	0.82	1.80499754961197e-83	0	Ssus11-YBX1
Ssus11-MPC2	2.32701360218308e-87	-0.404010575402975	0.172	0.454	2.8077746123941e-83	0	Ssus11-MPC2
Ssus11-UBB	2.92740734306338e-87	-0.336787102131427	0.999	0.999	3.53220970014027e-83	0	Ssus11-UBB
Ssus11-NOP10	2.93189077218787e-87	-0.354920333079665	0.189	0.485	3.53761940572188e-83	0	Ssus11-NOP10
Ssus11-ENSSSCG00000028461	7.51353999340869e-87	-0.381959707302215	0.077	0.317	9.06583735604693e-83	0	Ssus11-ENSSSCG00000028461
Ssus11-ENSSSCG00000033909	5.24891382734731e-86	-0.412840892151018	0.049	0.272	6.33333942407727e-82	0	Ssus11-ENSSSCG00000033909
Ssus11-RPS11	9.06120260511922e-86	0.37838576036145	0.999	0.998	1.09332470633369e-81	0	Ssus11-RPS11
Ssus11-ENSSSCG00000032959	4.26332685571509e-85	-0.366869401489952	0.128	0.387	5.14413018410583e-81	0	Ssus11-ENSSSCG00000032959
Ssus11-COL6A1	4.42380000526776e-85	0.367763135817411	1	0.872	5.33775708635608e-81	0	Ssus11-COL6A1
Ssus11-COX4I1	1.54746786407051e-84	-0.565163427985414	1	0.998	1.86717472478748e-80	0	Ssus11-COX4I1
Ssus11-TXNDC17	2.16344163677789e-84	-0.346357602167671	0.122	0.382	2.6104086789362e-80	0	Ssus11-TXNDC17
Ssus11-NDUFA5	4.63087769682031e-84	-0.376119449470032	0.151	0.425	5.58761702898338e-80	0	Ssus11-NDUFA5
Ssus11-ENSSSCG00000039731	2.20661582939673e-83	-0.402160932900368	0.064	0.288	2.6625026597501e-79	0	Ssus11-ENSSSCG00000039731
Ssus11-GMFG	2.57095860745444e-83	-0.508589842576149	0.104	0.34	3.10211865575453e-79	0	Ssus11-GMFG
Ssus11-ACP5	3.01884643898346e-83	-0.455189854728789	0.048	0.263	3.64254011327745e-79	0	Ssus11-ACP5
Ssus11-SPP1	3.54346869465641e-83	-2.2334095287934	0.431	0.533	4.27554932697242e-79	0	Ssus11-SPP1
Ssus11-MRPL17	5.48982830522567e-83	-0.347190420793641	0.172	0.453	6.62402683308529e-79	0	Ssus11-MRPL17
Ssus11-SERPINE1	1.42738954338035e-82	-0.481482454798433	0.073	0.297	1.72228822304274e-78	0	Ssus11-SERPINE1
Ssus11-ARPC2	1.76313439035135e-82	-0.395605131981182	0.144	0.403	2.12739795539794e-78	0	Ssus11-ARPC2
Ssus11-HMOX1	3.57064462874212e-82	-0.406847770770027	0.024	0.225	4.30833980904024e-78	0	Ssus11-HMOX1
Ssus11-PSMA6	3.77375011286177e-82	-0.35942510221636	0.153	0.42	4.55340688617901e-78	0	Ssus11-PSMA6
Ssus11-SDHB	5.99831198122237e-82	-0.348154564425929	0.163	0.437	7.23756323654291e-78	0	Ssus11-SDHB
Ssus11-TWF2	6.67621224936304e-82	-0.325546687902168	0.158	0.432	8.05551770008145e-78	0	Ssus11-TWF2
Ssus11-CD248	7.36161323692929e-82	0.637050235967715	0.479	0.313	8.88252253167888e-78	0	Ssus11-CD248
Ssus11-ENSSSCG00000006061	1.08588668053523e-81	-0.320858689852988	0.11	0.359	1.3102308687338e-77	0	Ssus11-ENSSSCG00000006061
Ssus11-CD68	1.20670453399066e-81	-0.411760488645504	0.046	0.258	1.45600969071313e-77	0	Ssus11-CD68
Ssus11-ENSSSCG00000000905	1.36431252945259e-81	-0.411615715827964	0.248	0.516	1.64617949803749e-77	0	Ssus11-ENSSSCG00000000905
Ssus11-RPS25	1.62519085260104e-81	-0.431201544419098	0.955	0.948	1.96095528274842e-77	0	Ssus11-RPS25
Ssus11-CCN2	3.64289132684576e-81	0.517670313372741	0.728	0.57	4.39551267497209e-77	0	Ssus11-CCN2
Ssus11-HNRNPA2B1	5.68068315002203e-81	-0.359518489837364	0.192	0.476	6.85431228881658e-77	0	Ssus11-HNRNPA2B1
Ssus11-DRAP1	6.46722566709388e-81	-0.32303112619233	0.15	0.417	7.80335448991547e-77	0	Ssus11-DRAP1
Ssus11-LAMTOR1	1.36959046207718e-80	-0.34850976161166	0.19	0.474	1.65254785154233e-76	0	Ssus11-LAMTOR1
Ssus11-PSMG4	1.40053366756954e-80	-0.33576397825285	0.215	0.512	1.68988392328941e-76	0	Ssus11-PSMG4
Ssus11-BLVRB	1.42223557311676e-79	-0.339413628193691	0.039	0.246	1.71606944252268e-75	0	Ssus11-BLVRB
Ssus11-VDAC2	3.57687367847107e-79	-0.366609068432126	0.149	0.407	4.3158557804432e-75	0	Ssus11-VDAC2
Ssus11-TCN1	4.06253736336608e-79	-0.413762078465837	0.001	0.178	4.90185758263751e-75	0	Ssus11-TCN1
Ssus11-NPC2	4.89457793072079e-79	-0.542271056775172	0.179	0.423	5.9057977312077e-75	0	Ssus11-NPC2
Ssus11-SELENOH	1.23464109440982e-78	-0.338746142391105	0.116	0.361	1.48971794451488e-74	0	Ssus11-SELENOH
Ssus11-H2AZ2	3.20355101106758e-78	-0.352904410587361	0.139	0.394	3.86540464995415e-74	0	Ssus11-H2AZ2
