source	target	ligand	receptor	prob	pval	interaction_name	interaction_name_2	pathway_name
C1	C1	BMP5	BMPR1A_ACVR2B	0.001253497	0	BMP5_BMPR1A_ACVR2B	BMP5 - (BMPR1A+ACVR2B)	BMP
C5	C1	BMP5	BMPR1A_ACVR2B	0.000207784	0	BMP5_BMPR1A_ACVR2B	BMP5 - (BMPR1A+ACVR2B)	BMP
C6	C1	BMP5	BMPR1A_ACVR2B	0.000326512	0	BMP5_BMPR1A_ACVR2B	BMP5 - (BMPR1A+ACVR2B)	BMP
C1	C6	BMP5	BMPR1A_ACVR2B	0.000117652	0	BMP5_BMPR1A_ACVR2B	BMP5 - (BMPR1A+ACVR2B)	BMP
C5	C6	BMP5	BMPR1A_ACVR2B	2.52E-05	0	BMP5_BMPR1A_ACVR2B	BMP5 - (BMPR1A+ACVR2B)	BMP
C6	C6	BMP5	BMPR1A_ACVR2B	0.000141627	0	BMP5_BMPR1A_ACVR2B	BMP5 - (BMPR1A+ACVR2B)	BMP
C1	C1	BMP5	BMPR1A_BMPR2	0.001819508	0	BMP5_BMPR1A_BMPR2	BMP5 - (BMPR1A+BMPR2)	BMP
C5	C1	BMP5	BMPR1A_BMPR2	0.000302229	0	BMP5_BMPR1A_BMPR2	BMP5 - (BMPR1A+BMPR2)	BMP
C6	C1	BMP5	BMPR1A_BMPR2	0.000474472	0	BMP5_BMPR1A_BMPR2	BMP5 - (BMPR1A+BMPR2)	BMP
C1	C6	BMP5	BMPR1A_BMPR2	0.000206668	0	BMP5_BMPR1A_BMPR2	BMP5 - (BMPR1A+BMPR2)	BMP
C5	C6	BMP5	BMPR1A_BMPR2	4.43E-05	0	BMP5_BMPR1A_BMPR2	BMP5 - (BMPR1A+BMPR2)	BMP
C6	C6	BMP5	BMPR1A_BMPR2	0.000248876	0	BMP5_BMPR1A_BMPR2	BMP5 - (BMPR1A+BMPR2)	BMP
C1	C1	BMP7	BMPR1A_ACVR2B	0.000569134	0	BMP7_BMPR1A_ACVR2B	BMP7 - (BMPR1A+ACVR2B)	BMP
C5	C1	BMP7	BMPR1A_ACVR2B	7.47E-05	0	BMP7_BMPR1A_ACVR2B	BMP7 - (BMPR1A+ACVR2B)	BMP
C6	C1	BMP7	BMPR1A_ACVR2B	0.000107206	0	BMP7_BMPR1A_ACVR2B	BMP7 - (BMPR1A+ACVR2B)	BMP
C1	C6	BMP7	BMPR1A_ACVR2B	5.33E-05	0	BMP7_BMPR1A_ACVR2B	BMP7 - (BMPR1A+ACVR2B)	BMP
C5	C6	BMP7	BMPR1A_ACVR2B	9.06E-06	0	BMP7_BMPR1A_ACVR2B	BMP7 - (BMPR1A+ACVR2B)	BMP
C6	C6	BMP7	BMPR1A_ACVR2B	4.64E-05	0	BMP7_BMPR1A_ACVR2B	BMP7 - (BMPR1A+ACVR2B)	BMP
C1	C1	BMP7	BMPR1A_BMPR2	0.000827262	0	BMP7_BMPR1A_BMPR2	BMP7 - (BMPR1A+BMPR2)	BMP
C5	C1	BMP7	BMPR1A_BMPR2	0.000108682	0	BMP7_BMPR1A_BMPR2	BMP7 - (BMPR1A+BMPR2)	BMP
C6	C1	BMP7	BMPR1A_BMPR2	0.000155934	0	BMP7_BMPR1A_BMPR2	BMP7 - (BMPR1A+BMPR2)	BMP
C1	C6	BMP7	BMPR1A_BMPR2	9.37E-05	0	BMP7_BMPR1A_BMPR2	BMP7 - (BMPR1A+BMPR2)	BMP
